WH8S577,miser,34,2098,0,60,24
1OVC0,miser,20,3257,0,62,45
FIBPKO1H,miser,12,4734,0,32,24
B7JLG97M2,miser,38,7596,0,23,49
F5IU4L,miser,38,7582,0,20,45
560925F,miser,31,9143,0,37,41
7C29KU7,miser,15,3690,0,43,15
UDYBR480L,miser,26,7966,0,66,19
CGJ3YOL,miser,49,3824,0,28,16
POXT2BM,miser,26,4681,0,25,50
5G3Y3X3A,miser,31,2452,0,38,34
NG7NZP0,miser,36,1634,0,35,24
79E3JZ,miser,10,2570,0,34,19
6PRMK5OPV,miser,40,7043,0,78,5
WMFZS,miser,8,5656,0,63,39
SFOTMR6V,miser,48,7915,0,20,9
QV499XCVH,miser,40,6607,0,31,12
07P4AB,miser,44,8014,0,43,35
VTOTSE,miser,45,5701,0,75,20
X70RZ,miser,23,4519,0,51,24
ZY2026RL9,generous,15,6568,0,44,30
7R1NI65Z,generous,18,1894,0,60,5
K4UN6A,generous,13,8878,0,80,37
Z6ZN9Q,generous,19,1064,0,59,26
IMBAUH4RD,generous,22,6049,0,61,33
00WD6Y5L,generous,42,3533,0,68,32
SGADRIEE,generous,10,4727,0,30,6
8OVP1BEKE,generous,22,1645,0,39,43
1GXOO,generous,5,3540,0,73,7
765JE8R5,generous,43,5297,0,50,16
N0H1NMXP,generous,32,7170,0,43,7
RWD2U1O,generous,41,8719,0,76,23
DIAIM,generous,34,6260,0,21,19
TSGZ4W7,generous,27,5644,0,75,19
T0H06K3,generous,22,7194,0,77,23
0F899,generous,37,6871,0,30,19
3K1AO48,generous,42,2274,0,73,19
EBI7K,generous,31,5059,0,77,48
IDDECYUM2,generous,43,9394,0,62,13
9IEO1,generous,36,5712,0,20,31
4KOHLYV,geeky,8,4757,0,58,33
F1PQO60UL,geeky,41,9458,0,65,18
5V06ICRE2,geeky,19,1585,0,37,36
2313XH1M,geeky,33,8034,0,80,11
XLXPAFGKV,geeky,50,4995,0,49,43
2VX4XD9X4,geeky,22,3118,0,29,13
0DXIV,geeky,24,4479,0,62,7
ST44JW,geeky,34,7241,0,69,15
2CME8,geeky,24,6415,0,75,45
4B9V8G2,geeky,21,1278,0,69,39
XKJOXLGS,geeky,32,1044,0,80,9
PQ7FHLYB4,geeky,14,6058,0,40,46
0T12M,geeky,37,2407,0,28,25
G4UX06,geeky,27,6081,0,72,27
NHBQU5YID,geeky,40,3645,0,25,36
FA9AG,geeky,10,1769,0,28,25
198JO,geeky,6,3813,0,79,6
4HODD,geeky,18,3508,0,25,33
Q0IYXV1LT,geeky,40,7291,0,32,44
UGJHC1UPY,geeky,14,4540,0,48,12
